=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.03 12:35:16 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
157.18,300,5.103, ,,,,,,,,,,
155.66,300,5.171, ,,,,,,,,,,
155.81,300,5.239, ,,,,,,,,,,
155.71,300,5.308, ,,,,,,,,,,
146.09,300,5.376, ,,,,,,,,,,
134.42,300,5.444, ,,,,,,,,,,
119.06,300,5.513, ,,,,,,,,,,
103.78,300,5.58, ,,,,,,,,,,
91.53,300,5.649, ,,,,,,,,,,
91.53,300,5.715, ,,,,,,,,,,
82.15,0,5.728, ,,,,,,,,,,
82.15,0,5.795, ,,,,,,,,,,
82.15,0,5.807, ,,,,,,,,,,
75.2,0,5.819, ,,,,,,,,,,
75.2,0,5.885, ,,,,,,,,,,
75.2,0,5.898, ,,,,,,,,,,
71.9,0,5.91, ,,,,,,,,,,
71.9,0,5.977, ,,,,,,,,,,
71.64,0,5.989, ,,,,,,,,,,
71.64,0,6.056, ,,,,,,,,,,
71.64,0,6.068, ,,,,,,,,,,
71.71,0,6.08, ,,,,,,,,,,
71.71,0,6.148, ,,,,,,,,,,
71.71,0,6.159, ,,,,,,,,,,
71.57,0,6.171, ,,,,,,,,,,
71.57,0,6.239, ,,,,,,,,,,
71.57,0,6.25, ,,,,,,,,,,
74.54,0,6.262, ,,,,,,,,,,
74.54,0,6.329, ,,,,,,,,,,
74.54,0,6.341, ,,,,,,,,,,
79.66,0,6.353, ,,,,,,,,,,
79.66,0,6.42, ,,,,,,,,,,
79.66,0,6.432, ,,,,,,,,,,
87.58,0,6.444, ,,,,,,,,,,
87.58,0,6.511, ,,,,,,,,,,
99.44,0,6.523, ,,,,,,,,,,
99.44,0,6.591, ,,,,,,,,,,
99.44,0,6.602, ,,,,,,,,,,
120.58,0,6.615, ,,,,,,,,,,
139,0,6.683, ,,,,,,,,,,
154.59,300,6.752, ,,,,,,,,,,
163.25,300,6.819, ,,,,,,,,,,
161.6,300,6.888, ,,,,,,,,,,
157.39,300,6.957, ,,,,,,,,,,
157.1,300,7.024, ,,,,,,,,,,
158.18,300,7.093, ,,,,,,,,,,
159.64,300,7.16, ,,,,,,,,,,
152.87,300,7.229, ,,,,,,,,,,
143.3,300,7.298, ,,,,,,,,,,
131.24,300,7.365, ,,,,,,,,,,
116.24,300,7.434, ,,,,,,,,,,
101.16,300,7.502, ,,,,,,,,,,
89.74,300,7.57, ,,,,,,,,,,
89.74,300,7.636, ,,,,,,,,,,
81.04,0,7.649, ,,,,,,,,,,
81.04,0,7.716, ,,,,,,,,,,
96.11,0,7.729, ,,,,,,,,,,
96.11,0,7.785, ,,,,,,,,,,
112.61,0,7.796, ,,,,,,,,,,
71.26,0,7.855, ,,,,,,,,,,
71.26,0,7.921, ,,,,,,,,,,
71.26,0,7.932, ,,,,,,,,,,
71.26,0,7.945, ,,,,,,,,,,
71.26,0,8.012, ,,,,,,,,,,
71.26,0,8.024, ,,,,,,,,,,
71.62,0,8.036, ,,,,,,,,,,
71.62,0,8.102, ,,,,,,,,,,
71.62,0,8.115, ,,,,,,,,,,
71.71,0,8.127, ,,,,,,,,,,
71.71,0,8.194, ,,,,,,,,,,
71.71,0,8.206, ,,,,,,,,,,
75.4,0,8.217, ,,,,,,,,,,
75.4,0,8.285, ,,,,,,,,,,
75.4,0,8.297, ,,,,,,,,,,
80.57,0,8.308, ,,,,,,,,,,
80.57,0,8.376, ,,,,,,,,,,
88.54,0,8.387, ,,,,,,,,,,
88.54,0,8.456, ,,,,,,,,,,
88.54,0,8.467, ,,,,,,,,,,
103.46,0,8.479, ,,,,,,,,,,
119.02,0,8.548, ,,,,,,,,,,
137.42,0,8.616, ,,,,,,,,,,
152.88,300,8.684, ,,,,,,,,,,
162.6,300,8.753, ,,,,,,,,,,
162.68,300,8.821, ,,,,,,,,,,
158.32,300,8.889, ,,,,,,,,,,
157.47,300,8.957, ,,,,,,,,,,
158.17,300,9.025, ,,,,,,,,,,
158.6,300,9.094, ,,,,,,,,,,
152.2,300,9.162, ,,,,,,,,,,
142.06,300,9.23, ,,,,,,,,,,
129.8,300,9.298, ,,,,,,,,,,
114.3,300,9.367, ,,,,,,,,,,
100.47,300,9.435, ,,,,,,,,,,
89.01,300,9.503, ,,,,,,,,,,
89.01,300,9.57, ,,,,,,,,,,
80.42,0,9.582, ,,,,,,,,,,
80.42,0,9.65, ,,,,,,,,,,
80.42,0,9.661, ,,,,,,,,,,
73.77,0,9.673, ,,,,,,,,,,
73.77,0,9.741, ,,,,,,,,,,
73.77,0,9.752, ,,,,,,,,,,
71,0,9.764, ,,,,,,,,,,
71,0,9.831, ,,,,,,,,,,
70.88,0,9.843, ,,,,,,,,,,
70.88,0,9.922, ,,,,,,,,,,
70.88,0,9.934, ,,,,,,,,,,
71.09,0,9.946, ,,,,,,,,,,
71.09,0,10.013, ,,,,,,,,,,
71.09,0,10.025, ,,,,,,,,,,
71.09,0,10.037, ,,,,,,,,,,
71.09,0,10.104, ,,,,,,,,,,
71.09,0,10.116, ,,,,,,,,,,
73.78,0,10.128, ,,,,,,,,,,
73.78,0,10.195, ,,,,,,,,,,
77.97,0,10.207, ,,,,,,,,,,
77.97,0,10.274, ,,,,,,,,,,
84.29,0,10.287, ,,,,,,,,,,
84.29,0,10.354, ,,,,,,,,,,
93.77,0,10.366, ,,,,,,,,,,
93.77,0,10.434, ,,,,,,,,,,
108.63,0,10.445, ,,,,,,,,,,
126.23,0,10.515, ,,,,,,,,,,
144.22,300,10.584, ,,,,,,,,,,
158.35,300,10.651, ,,,,,,,,,,
162.63,300,10.72, ,,,,,,,,,,
158.22,300,10.788, ,,,,,,,,,,
156.12,300,10.856, ,,,,,,,,,,
156.65,300,10.925, ,,,,,,,,,,
156.67,300,10.993, ,,,,,,,,,,
148.14,300,11.061, ,,,,,,,,,,
136.21,300,11.129, ,,,,,,,,,,
121.84,300,11.197, ,,,,,,,,,,
106.25,300,11.266, ,,,,,,,,,,
93.89,300,11.334, ,,,,,,,,,,
93.89,300,11.401, ,,,,,,,,,,
83.27,0,11.413, ,,,,,,,,,,
83.27,0,11.481, ,,,,,,,,,,
76.2,0,11.492, ,,,,,,,,,,
76.2,0,11.559, ,,,,,,,,,,
72.68,0,11.572, ,,,,,,,,,,
72.68,0,11.639, ,,,,,,,,,,
72.43,0,11.652, ,,,,,,,,,,
72.43,0,11.719, ,,,,,,,,,,
72.03,0,11.73, ,,,,,,,,,,
72.03,0,11.798, ,,,,,,,,,,
71.51,0,11.81, ,,,,,,,,,,
71.51,0,11.878, ,,,,,,,,,,
72.95,0,11.89, ,,,,,,,,,,
72.95,0,11.958, ,,,,,,,,,,
75.82,0,11.969, ,,,,,,,,,,
75.82,0,12.037, ,,,,,,,,,,
81.03,0,12.049, ,,,,,,,,,,
81.03,0,12.116, ,,,,,,,,,,
89.33,0,12.129, ,,,,,,,,,,
89.33,0,12.196, ,,,,,,,,,,
101.62,0,12.209, ,,,,,,,,,,
117.25,0,12.277, ,,,,,,,,,,
135.64,0,12.346, ,,,,,,,,,,
152.47,300,12.413, ,,,,,,,,,,
162.15,300,12.482, ,,,,,,,,,,
161.96,300,12.551, ,,,,,,,,,,
157.75,300,12.618, ,,,,,,,,,,
156.86,300,12.687, ,,,,,,,,,,
157.63,300,12.755, ,,,,,,,,,,
158.97,300,12.823, ,,,,,,,,,,
151.62,300,12.892, ,,,,,,,,,,
141.27,300,12.96, ,,,,,,,,,,
129.08,300,13.028, ,,,,,,,,,,
113.22,300,13.096, ,,,,,,,,,,
99.19,300,13.164, ,,,,,,,,,,
99.19,300,13.232, ,,,,,,,,,,
86.81,300,13.243, ,,,,,,,,,,
86.81,300,13.31, ,,,,,,,,,,
78.79,0,13.323, ,,,,,,,,,,
78.79,0,13.39, ,,,,,,,,,,
73.71,0,13.403, ,,,,,,,,,,
73.71,0,13.47, ,,,,,,,,,,
70.97,0,13.481, ,,,,,,,,,,
70.97,0,13.549, ,,,,,,,,,,
70.54,0,13.561, ,,,,,,,,,,
70.54,0,13.629, ,,,,,,,,,,
70.55,0,13.641, ,,,,,,,,,,
70.55,0,13.709, ,,,,,,,,,,
70.27,0,13.72, ,,,,,,,,,,
70.27,0,13.788, ,,,,,,,,,,
70.87,0,13.8, ,,,,,,,,,,
70.87,0,13.868, ,,,,,,,,,,
72.94,0,13.88, ,,,,,,,,,,
72.94,0,13.947, ,,,,,,,,,,
76.36,0,13.96, ,,,,,,,,,,
76.36,0,14.027, ,,,,,,,,,,
81.99,0,14.039, ,,,,,,,,,,
81.99,0,14.106, ,,,,,,,,,,
90.17,0,14.118, ,,,,,,,,,,
90.17,0,14.186, ,,,,,,,,,,
103.53,0,14.198, ,,,,,,,,,,
120.53,0,14.267, ,,,,,,,,,,
138.6,0,14.336, ,,,,,,,,,,
154.19,300,14.403, ,,,,,,,,,,
162.11,300,14.472, ,,,,,,,,,,
161.79,300,14.54, ,,,,,,,,,,
157.59,300,14.608, ,,,,,,,,,,
157.17,300,14.676, ,,,,,,,,,,
159.01,300,14.745, ,,,,,,,,,,
158.31,300,14.813, ,,,,,,,,,,
152.06,300,14.881, ,,,,,,,,,,
141.79,300,14.95, ,,,,,,,,,,
130.04,300,15.017, ,,,,,,,,,,
114.34,300,15.086, ,,,,,,,,,,
99.89,300,15.155, ,,,,,,,,,,
99.89,300,15.221, ,,,,,,,,,,
87.62,300,15.233, ,,,,,,,,,,
87.62,300,15.3, ,,,,,,,,,,
79.22,0,15.312, ,,,,,,,,,,
79.22,0,15.38, ,,,,,,,,,,
74.16,0,15.392, ,,,,,,,,,,
74.16,0,15.46, ,,,,,,,,,,
71.37,0,15.471, ,,,,,,,,,,
71.37,0,15.54, ,,,,,,,,,,
70.93,0,15.551, ,,,,,,,,,,
70.93,0,15.619, ,,,,,,,,,,
71.14,0,15.631, ,,,,,,,,,,
71.14,0,15.698, ,,,,,,,,,,
70.83,0,15.711, ,,,,,,,,,,
70.83,0,15.778, ,,,,,,,,,,
71.25,0,15.79, ,,,,,,,,,,
71.25,0,15.857, ,,,,,,,,,,
74.18,0,15.869, ,,,,,,,,,,
74.18,0,15.937, ,,,,,,,,,,
77.66,0,15.949, ,,,,,,,,,,
77.66,0,16.017, ,,,,,,,,,,
83.25,0,16.028, ,,,,,,,,,,
83.25,0,16.096, ,,,,,,,,,,
92.67,0,16.108, ,,,,,,,,,,
92.67,0,16.176, ,,,,,,,,,,
107.87,0,16.188, ,,,,,,,,,,
125.15,0,16.257, ,,,,,,,,,,
143.13,300,16.325, ,,,,,,,,,,
157.34,300,16.394, ,,,,,,,,,,
161.7,300,16.461, ,,,,,,,,,,
157.29,300,16.53, ,,,,,,,,,,
155.41,300,16.599, ,,,,,,,,,,
156.1,300,16.666, ,,,,,,,,,,
155.91,300,16.735, ,,,,,,,,,,
147.25,300,16.803, ,,,,,,,,,,
135.02,300,16.871, ,,,,,,,,,,
120.65,300,16.94, ,,,,,,,,,,
104.79,300,17.008, ,,,,,,,,,,
92.95,300,17.076, ,,,,,,,,,,
92.95,300,17.142, ,,,,,,,,,,
82.79,0,17.155, ,,,,,,,,,,
82.79,0,17.222, ,,,,,,,,,,
75.8,0,17.234, ,,,,,,,,,,
75.8,0,17.302, ,,,,,,,,,,
75.8,0,17.313, ,,,,,,,,,,
72.58,0,17.326, ,,,,,,,,,,
72.58,0,17.392, ,,,,,,,,,,
71.94,0,17.404, ,,,,,,,,,,
71.94,0,17.472, ,,,,,,,,,,
71.97,0,17.484, ,,,,,,,,,,
71.97,0,17.552, ,,,,,,,,,,
71.43,0,17.563, ,,,,,,,,,,
71.43,0,17.632, ,,,,,,,,,,
72.86,0,17.643, ,,,,,,,,,,
72.86,0,17.711, ,,,,,,,,,,
76.38,0,17.723, ,,,,,,,,,,
76.38,0,17.79, ,,,,,,,,,,
81.44,0,17.803, ,,,,,,,,,,
81.44,0,17.87, ,,,,,,,,,,
89.29,0,17.882, ,,,,,,,,,,
89.29,0,17.949, ,,,,,,,,,,
102.02,0,17.961, ,,,,,,,,,,
117.73,0,18.031, ,,,,,,,,,,
136.29,0,18.099, ,,,,,,,,,,
152.09,300,18.167, ,,,,,,,,,,
161.66,300,18.236, ,,,,,,,,,,
161.7,300,18.304, ,,,,,,,,,,
158.4,300,18.372, ,,,,,,,,,,
156.42,300,18.44, ,,,,,,,,,,
157.68,300,18.508, ,,,,,,,,,,
158.12,300,18.577, ,,,,,,,,,,
151.72,300,18.644, ,,,,,,,,,,
141.18,300,18.713, ,,,,,,,,,,
128.8,300,18.782, ,,,,,,,,,,
113.09,300,18.849, ,,,,,,,,,,
98.89,300,18.918, ,,,,,,,,,,
98.89,300,18.984, ,,,,,,,,,,
86.34,300,18.997, ,,,,,,,,,,
86.34,300,19.064, ,,,,,,,,,,
78.64,0,19.077, ,,,,,,,,,,
78.64,0,19.143, ,,,,,,,,,,
74.07,0,19.155, ,,,,,,,,,,
74.07,0,19.223, ,,,,,,,,,,
70.85,0,19.235, ,,,,,,,,,,
70.85,0,19.303, ,,,,,,,,,,
70.6,0,19.315, ,,,,,,,,,,
70.6,0,19.383, ,,,,,,,,,,
70.77,0,19.394, ,,,,,,,,,,
70.77,0,19.462, ,,,,,,,,,,
70.93,0,19.474, ,,,,,,,,,,
70.93,0,19.542, ,,,,,,,,,,
71.04,0,19.554, ,,,,,,,,,,
71.04,0,19.621, ,,,,,,,,,,
73.17,0,19.633, ,,,,,,,,,,
73.17,0,19.7, ,,,,,,,,,,
77.15,0,19.713, ,,,,,,,,,,
77.15,0,19.78, ,,,,,,,,,,
83.42,0,19.792, ,,,,,,,,,,
83.42,0,19.86, ,,,,,,,,,,
91.94,0,19.872, ,,,,,,,,,,
91.94,0,19.94, ,,,,,,,,,,
106.07,0,19.951, ,,,,,,,,,,
122.94,0,20.021, ,,,,,,,,,,
141.53,300,20.088, ,,,,,,,,,,
156.29,300,20.157, ,,,,,,,,,,
161.79,300,20.226, ,,,,,,,,,,
158.84,300,20.293, ,,,,,,,,,,
156.37,300,20.362, ,,,,,,,,,,
156.33,300,20.43, ,,,,,,,,,,
155.29,300,20.498, ,,,,,,,,,,
146.89,300,20.567, ,,,,,,,,,,
134.28,300,20.635, ,,,,,,,,,,
118.98,300,20.703, ,,,,,,,,,,
103.66,300,20.771, ,,,,,,,,,,
91.64,300,20.84, ,,,,,,,,,,
91.64,300,20.907, ,,,,,,,,,,
81.99,0,20.919, ,,,,,,,,,,
81.99,0,20.985, ,,,,,,,,,,
76.23,0,20.998, ,,,,,,,,,,
76.23,0,21.065, ,,,,,,,,,,
72.16,0,21.078, ,,,,,,,,,,
72.16,0,21.145, ,,,,,,,,,,
71.74,0,21.157, ,,,,,,,,,,
71.74,0,21.225, ,,,,,,,,,,
71.82,0,21.236, ,,,,,,,,,,
71.82,0,21.304, ,,,,,,,,,,
71.62,0,21.316, ,,,,,,,,,,
71.62,0,21.384, ,,,,,,,,,,
72.33,0,21.396, ,,,,,,,,,,
72.33,0,21.464, ,,,,,,,,,,
75.69,0,21.475, ,,,,,,,,,,
75.69,0,21.542, ,,,,,,,,,,
80.3,0,21.555, ,,,,,,,,,,
80.3,0,21.622, ,,,,,,,,,,
87.5,0,21.635, ,,,,,,,,,,
87.5,0,21.702, ,,,,,,,,,,
99.53,0,21.714, ,,,,,,,,,,
99.53,0,21.782, ,,,,,,,,,,
118.15,0,21.793, ,,,,,,,,,,
136.54,0,21.863, ,,,,,,,,,,
152.7,300,21.931, ,,,,,,,,,,
162.38,300,21.999, ,,,,,,,,,,
162.17,300,22.068, ,,,,,,,,,,
158.19,300,22.135, ,,,,,,,,,,
156.23,300,22.204, ,,,,,,,,,,
157.98,300,22.273, ,,,,,,,,,,
158.91,300,22.34, ,,,,,,,,,,
151.9,300,22.409, ,,,,,,,,,,
141.18,300,22.477, ,,,,,,,,,,
128.85,300,22.545, ,,,,,,,,,,
113,300,22.614, ,,,,,,,,,,
98.71,300,22.682, ,,,,,,,,,,
98.71,300,22.749, ,,,,,,,,,,
86.53,300,22.761, ,,,,,,,,,,
86.53,300,22.829, ,,,,,,,,,,
78.56,0,22.84, ,,,,,,,,,,
78.56,0,22.907, ,,,,,,,,,,
73.86,0,22.92, ,,,,,,,,,,
73.86,0,22.987, ,,,,,,,,,,
71.25,0,22.999, ,,,,,,,,,,
71.25,0,23.067, ,,,,,,,,,,
70.81,0,23.078, ,,,,,,,,,,
70.81,0,23.146, ,,,,,,,,,,
70.53,0,23.158, ,,,,,,,,,,
70.53,0,23.226, ,,,,,,,,,,
70.05,0,23.238, ,,,,,,,,,,
70.05,0,23.306, ,,,,,,,,,,
70.86,0,23.317, ,,,,,,,,,,
70.86,0,23.385, ,,,,,,,,,,
73.63,0,23.397, ,,,,,,,,,,
73.63,0,23.464, ,,,,,,,,,,
77.84,0,23.477, ,,,,,,,,,,
77.84,0,23.544, ,,,,,,,,,,
83.66,0,23.557, ,,,,,,,,,,
83.66,0,23.624, ,,,,,,,,,,
92.62,0,23.635, ,,,,,,,,,,
92.62,0,23.703, ,,,,,,,,,,
107.03,0,23.715, ,,,,,,,,,,
124.93,0,23.785, ,,,,,,,,,,
143.12,300,23.853, ,,,,,,,,,,
157.33,300,23.921, ,,,,,,,,,,
161.66,300,23.99, ,,,,,,,,,,
157.87,300,24.057, ,,,,,,,,,,
155.97,300,24.126, ,,,,,,,,,,
156.25,300,24.195, ,,,,,,,,,,
156.19,300,24.262, ,,,,,,,,,,
147.19,300,24.331, ,,,,,,,,,,
134.82,300,24.398, ,,,,,,,,,,
119.93,300,24.467, ,,,,,,,,,,
104.31,300,24.536, ,,,,,,,,,,
92.15,300,24.603, ,,,,,,,,,,
92.15,300,24.671, ,,,,,,,,,,
82.58,0,24.682, ,,,,,,,,,,
82.58,0,24.75, ,,,,,,,,,,
75.73,0,24.762, ,,,,,,,,,,
75.73,0,24.829, ,,,,,,,,,,
72.6,0,24.842, ,,,,,,,,,,
72.6,0,24.909, ,,,,,,,,,,
72.13,0,24.921, ,,,,,,,,,,
72.13,0,24.988, ,,,,,,,,,,
71.58,0,25, ,,,,,,,,,,
71.58,0,25.068, ,,,,,,,,,,
71.39,0,25.08, ,,,,,,,,,,
71.39,0,25.148, ,,,,,,,,,,
72.44,0,25.159, ,,,,,,,,,,
72.44,0,25.227, ,,,,,,,,,,
75.41,0,25.239, ,,,,,,,,,,
75.41,0,25.307, ,,,,,,,,,,
80.69,0,25.319, ,,,,,,,,,,
80.69,0,25.387, ,,,,,,,,,,
87.81,0,25.399, ,,,,,,,,,,
87.81,0,25.466, ,,,,,,,,,,
100.11,0,25.478, ,,,,,,,,,,
115.44,0,25.547, ,,,,,,,,,,
134.09,0,25.616, ,,,,,,,,,,
150.68,300,25.683, ,,,,,,,,,,
161.57,300,25.752, ,,,,,,,,,,
162.48,300,25.82, ,,,,,,,,,,
157.87,300,25.888, ,,,,,,,,,,
155.82,300,25.957, ,,,,,,,,,,
157.52,300,26.024, ,,,,,,,,,,
157.39,300,26.093, ,,,,,,,,,,
151.31,300,26.162, ,,,,,,,,,,
140.23,300,26.229, ,,,,,,,,,,
127.29,300,26.298, ,,,,,,,,,,
111.32,300,26.366, ,,,,,,,,,,
97.17,300,26.434, ,,,,,,,,,,
97.17,300,26.501, ,,,,,,,,,,
85.65,300,26.513, ,,,,,,,,,,
85.65,300,26.58, ,,,,,,,,,,
78.4,0,26.593, ,,,,,,,,,,
78.4,0,26.66, ,,,,,,,,,,
73.21,0,26.672, ,,,,,,,,,,
73.21,0,26.74, ,,,,,,,,,,
70.76,0,26.752, ,,,,,,,,,,
70.76,0,26.819, ,,,,,,,,,,
70.37,0,26.831, ,,,,,,,,,,
70.37,0,26.899, ,,,,,,,,,,
70.4,0,26.911, ,,,,,,,,,,
70.4,0,26.979, ,,,,,,,,,,
70.43,0,26.99, ,,,,,,,,,,
70.43,0,27.058, ,,,,,,,,,,
70.87,0,27.07, ,,,,,,,,,,
70.87,0,27.138, ,,,,,,,,,,
73.15,0,27.15, ,,,,,,,,,,
73.15,0,27.217, ,,,,,,,,,,
77.04,0,27.23, ,,,,,,,,,,
77.04,0,27.297, ,,,,,,,,,,
82.23,0,27.309, ,,,,,,,,,,
82.23,0,27.376, ,,,,,,,,,,
91.4,0,27.388, ,,,,,,,,,,
91.4,0,27.456, ,,,,,,,,,,
104.79,0,27.468, ,,,,,,,,,,
121.63,0,27.537, ,,,,,,,,,,
139.97,0,27.606, ,,,,,,,,,,
154.91,300,27.673, ,,,,,,,,,,
163.34,300,27.742, ,,,,,,,,,,
162.19,300,27.81, ,,,,,,,,,,
157.84,300,27.879, ,,,,,,,,,,
156.37,300,27.947, ,,,,,,,,,,
158.33,300,28.015, ,,,,,,,,,,
159.41,300,28.083, ,,,,,,,,,,
152.78,300,28.151, ,,,,,,,,,,
143.12,300,28.22, ,,,,,,,,,,
131.54,300,28.288, ,,,,,,,,,,
115.79,300,28.356, ,,,,,,,,,,
100.94,300,28.425, ,,,,,,,,,,
89.33,300,28.492, ,,,,,,,,,,
89.33,300,28.559, ,,,,,,,,,,
80.89,0,28.571, ,,,,,,,,,,
80.89,0,28.639, ,,,,,,,,,,
75.23,0,28.651, ,,,,,,,,,,
75.23,0,28.719, ,,,,,,,,,,
71.3,0,28.73, ,,,,,,,,,,
71.3,0,28.798, ,,,,,,,,,,
70.99,0,28.81, ,,,,,,,,,,
70.99,0,28.877, ,,,,,,,,,,
71.45,0,28.89, ,,,,,,,,,,
71.45,0,28.957, ,,,,,,,,,,
71.44,0,28.969, ,,,,,,,,,,
71.44,0,29.037, ,,,,,,,,,,
72.04,0,29.048, ,,,,,,,,,,
72.04,0,29.116, ,,,,,,,,,,
74.82,0,29.128, ,,,,,,,,,,
74.82,0,29.196, ,,,,,,,,,,
79.58,0,29.208, ,,,,,,,,,,
79.58,0,29.276, ,,,,,,,,,,
86.21,0,29.288, ,,,,,,,,,,
86.21,0,29.356, ,,,,,,,,,,
96.29,0,29.367, ,,,,,,,,,,
96.29,0,29.434, ,,,,,,,,,,
112.62,0,29.447, ,,,,,,,,,,
131.04,0,29.516, ,,,,,,,,,,
148.35,300,29.584, ,,,,,,,,,,
160.01,300,29.652, ,,,,,,,,,,
162.39,300,29.721, ,,,,,,,,,,
158.21,300,29.789, ,,,,,,,,,,
156.92,300,29.857, ,,,,,,,,,,
157.29,300,29.926, ,,,,,,,,,,
157.21,300,29.993, ,,,,,,,,,,
150.02,300,30.062, ,,,,,,,,,,
138.42,300,30.13, ,,,,,,,,,,
124.89,300,30.198, ,,,,,,,,,,
109.1,300,30.267, ,,,,,,,,,,
95.25,300,30.334, ,,,,,,,,,,
95.25,300,30.402, ,,,,,,,,,,
84.7,0,30.413, ,,,,,,,,,,
84.7,0,30.481, ,,,,,,,,,,
77.85,0,30.493, ,,,,,,,,,,
77.85,0,30.561, ,,,,,,,,,,
73.06,0,30.573, ,,,,,,,,,,
73.06,0,30.641, ,,,,,,,,,,
73.12,0,30.652, ,,,,,,,,,,
73.12,0,30.72, ,,,,,,,,,,
72.72,0,30.732, ,,,,,,,,,,
72.72,0,30.799, ,,,,,,,,,,
72.28,0,30.812, ,,,,,,,,,,
72.28,0,30.879, ,,,,,,,,,,
73.46,0,30.891, ,,,,,,,,,,
73.46,0,30.958, ,,,,,,,,,,
76.66,0,30.97, ,,,,,,,,,,
76.66,0,31.038, ,,,,,,,,,,
82.75,0,31.05, ,,,,,,,,,,
82.75,0,31.118, ,,,,,,,,,,
91.1,0,31.13, ,,,,,,,,,,
91.1,0,31.198, ,,,,,,,,,,
105.48,0,31.209, ,,,,,,,,,,
122.46,0,31.279, ,,,,,,,,,,
140.92,300,31.346, ,,,,,,,,,,
155.7,300,31.415, ,,,,,,,,,,
